data_id,data_name,products,link
carrefour,Carrefour,20959,https://world.openfoodfacts.org/brand/carrefour
auchan,Auchan,14684,https://world.openfoodfacts.org/brand/auchan
bonarea,Bonarea,9632,https://world.openfoodfacts.org/brand/bonarea
u,U,8335,https://world.openfoodfacts.org/brand/u
nestle,Nestle,8313,https://world.openfoodfacts.org/brand/nestle
coop,Coop,6983,https://world.openfoodfacts.org/brand/coop
marque-repere,Marque-repere,6843,https://world.openfoodfacts.org/brand/marque-repere
lidl,Lidl,6381,https://world.openfoodfacts.org/brand/lidl
hacendado,Hacendado,6321,https://world.openfoodfacts.org/brand/hacendado
delhaize,Delhaize,6315,https://world.openfoodfacts.org/brand/delhaize
casino,Casino,5943,https://world.openfoodfacts.org/brand/casino
migros,Migros,5488,https://world.openfoodfacts.org/brand/migros
leader-price,Leader-price,5094,https://world.openfoodfacts.org/brand/leader-price
tesco,Tesco,4945,https://world.openfoodfacts.org/brand/tesco
aldi,Aldi,3882,https://world.openfoodfacts.org/brand/aldi
boni,Boni,3833,https://world.openfoodfacts.org/brand/boni
spar,Spar,3820,https://world.openfoodfacts.org/brand/spar
cora,Cora,3797,https://world.openfoodfacts.org/brand/cora
monoprix,Monoprix,3581,https://world.openfoodfacts.org/brand/monoprix
danone,Danone,3458,https://world.openfoodfacts.org/brand/danone
knorr,Knorr,3424,https://world.openfoodfacts.org/brand/knorr
mercadona,Mercadona,3382,https://world.openfoodfacts.org/brand/mercadona
great-value,Great-value,3259,https://world.openfoodfacts.org/brand/great-value
dia,Dia,3080,https://world.openfoodfacts.org/brand/dia
picard,Picard,2916,https://world.openfoodfacts.org/brand/picard
le-gaulois,Le-gaulois,2870,https://world.openfoodfacts.org/brand/le-gaulois
asda,Asda,2837,https://world.openfoodfacts.org/brand/asda
leclerc,Leclerc,2693,https://world.openfoodfacts.org/brand/leclerc
meijer,Meijer,2691,https://world.openfoodfacts.org/brand/meijer
trader-joe-s,Trader-joe-s,2630,https://world.openfoodfacts.org/brand/trader-joe-s
lindt,Lindt,2528,https://world.openfoodfacts.org/brand/lindt
eroski,Eroski,2526,https://world.openfoodfacts.org/brand/eroski
kroger,Kroger,2497,https://world.openfoodfacts.org/brand/kroger
haribo,Haribo,2406,https://world.openfoodfacts.org/brand/haribo
thiriet,Thiriet,2246,https://world.openfoodfacts.org/brand/thiriet
marks-spencer,Marks-spencer,2227,https://world.openfoodfacts.org/brand/marks-spencer
edeka,Edeka,2200,https://world.openfoodfacts.org/brand/edeka
la-vie-claire,La-vie-claire,2162,https://world.openfoodfacts.org/brand/la-vie-claire
carrefour-bio,Carrefour-bio,2140,https://world.openfoodfacts.org/brand/carrefour-bio
morrisons,Morrisons,2139,https://world.openfoodfacts.org/brand/morrisons
waitrose,Waitrose,2038,https://world.openfoodfacts.org/brand/waitrose
netto,Netto,2024,https://world.openfoodfacts.org/brand/netto
milbona,Milbona,2022,https://world.openfoodfacts.org/brand/milbona
rewe,Rewe,1992,https://world.openfoodfacts.org/brand/rewe
franprix,Franprix,1958,https://world.openfoodfacts.org/brand/franprix
conad,Conad,1939,https://world.openfoodfacts.org/brand/conad
sainsbury-s,Sainsbury-s,1927,https://world.openfoodfacts.org/brand/sainsbury-s
el-corte-ingles,El-corte-ingles,1914,https://world.openfoodfacts.org/brand/el-corte-ingles
belle-france,Belle-france,1902,https://world.openfoodfacts.org/brand/belle-france
maggi,Maggi,1901,https://world.openfoodfacts.org/brand/maggi
unilever,Unilever,1883,https://world.openfoodfacts.org/brand/unilever
kellogg-s,Kellogg-s,1787,https://world.openfoodfacts.org/brand/kellogg-s
alnatura,Alnatura,1747,https://world.openfoodfacts.org/brand/alnatura
gut-gunstig,Gut-gunstig,1718,https://world.openfoodfacts.org/brand/gut-gunstig
k-classic,K-classic,1693,https://world.openfoodfacts.org/brand/k-classic
yoplait,Yoplait,1689,https://world.openfoodfacts.org/brand/yoplait
fleury-michon,Fleury-michon,1674,https://world.openfoodfacts.org/brand/fleury-michon
entrepinares,Entrepinares,1668,https://world.openfoodfacts.org/brand/entrepinares
bio-village,Bio-village,1651,https://world.openfoodfacts.org/brand/bio-village
lipton,Lipton,1642,https://world.openfoodfacts.org/brand/lipton
heinz,Heinz,1639,https://world.openfoodfacts.org/brand/heinz
alteza,Alteza,1613,https://world.openfoodfacts.org/brand/alteza
sans-marque,Sans-marque,1597,https://world.openfoodfacts.org/brand/sans-marque
coca-cola,Coca-cola,1547,https://world.openfoodfacts.org/brand/coca-cola
bonpreu,Bonpreu,1543,https://world.openfoodfacts.org/brand/bonpreu
target-stores,Target-stores,1536,https://world.openfoodfacts.org/brand/target-stores
bonduelle,Bonduelle,1531,https://world.openfoodfacts.org/brand/bonduelle
esselunga,Esselunga,1525,https://world.openfoodfacts.org/brand/esselunga
intermarche,Intermarche,1478,https://world.openfoodfacts.org/brand/intermarche
despar,Despar,1473,https://world.openfoodfacts.org/brand/despar
consum,Consum,1468,https://world.openfoodfacts.org/brand/consum
charal,Charal,1461,https://world.openfoodfacts.org/brand/charal
selex,Selex,1448,https://world.openfoodfacts.org/brand/selex
myprotein,Myprotein,1429,https://world.openfoodfacts.org/brand/myprotein
dr-oetker,Dr-oetker,1424,https://world.openfoodfacts.org/brand/dr-oetker
savencia,Savencia,1421,https://world.openfoodfacts.org/brand/savencia
ahold,Ahold,1413,https://world.openfoodfacts.org/brand/ahold
prozis,Prozis,1399,https://world.openfoodfacts.org/brand/prozis
ferrero,Ferrero,1376,https://world.openfoodfacts.org/brand/ferrero
milka,Milka,1359,https://world.openfoodfacts.org/brand/milka
spartan,Spartan,1338,https://world.openfoodfacts.org/brand/spartan
albert-heijn,Albert-heijn,1335,https://world.openfoodfacts.org/brand/albert-heijn
roundy-s,Roundy-s,1330,https://world.openfoodfacts.org/brand/roundy-s
by-sainsbury-s,By-sainsbury-s,1317,https://world.openfoodfacts.org/brand/by-sainsbury-s
eliges,Eliges,1315,https://world.openfoodfacts.org/brand/eliges
barilla,Barilla,1310,https://world.openfoodfacts.org/brand/barilla
